depth,calmin,calmax,best
0,-86,13,-28
1,-84,18,-23
2,-81,24,-18
3,-79,30,-13
4,-77,36,-8
5,-73,42,-3
6,-72,48,2
7,-68,55,6
8,-66,61,11
9,-64,68,16
10,-62,74,21
11,-59,80,26
12,-57,87,30
13,-54,93,35
14,-52,99,40
15,-49,105,45
16,-47,112,49
17,-44,117,54
18,-42,124,59
19,-39,129,63
20,-37,136,68
21,-34,142,73
22,-31,147,77
23,-28,153,82
24,-26,159,86
25,-23,165,91
26,-21,171,95
27,-18,177,100
28,-17,183,104
29,-13,189,109
30,-11,194,113
31,-8,199,117
32,-6,205,121
33,-3,210,126
34,-1,216,130
35,2,221,134
36,4,226,138
37,8,231,142
38,10,235,146
39,14,241,150
40,16,245,154
41,20,250,158
42,22,256,161
43,25,259,165
44,28,264,169
45,30,269,173
46,34,274,176
47,37,277,180
48,39,281,184
49,43,286,187
50,45,290,191
51,48,294,195
52,52,298,198
53,55,302,202
54,59,306,205
55,62,309,209
56,66,313,212
57,69,317,215
58,74,320,219
59,77,323,222
60,81,328,226
61,83,331,229
62,86,336,232
63,90,339,236
64,93,343,239
65,96,346,242
66,99,350,245
67,103,354,249
68,106,357,252
69,109,361,255
70,112,364,259
71,115,367,262
72,119,371,265
73,122,375,269
74,127,378,272
75,131,381,275
76,134,385,278
77,138,388,282
78,142,391,285
79,146,394,288
80,149,398,292
81,153,400,295
82,157,404,298
83,161,407,302
84,165,411,305
85,171,414,308
86,175,417,312
87,179,421,315
88,183,423,319
89,187,427,322
90,193,430,325
91,197,433,329
92,201,437,332
93,207,439,336
94,211,443,340
95,216,446,343
96,222,450,347
97,226,452,350
98,231,456,354
99,237,459,358
100,241,463,362
101,247,465,365
102,253,469,369
103,259,472,373
104,265,476,377
105,271,479,381
106,278,483,385
107,290,487,389
108,293,489,393
109,298,493,397
110,303,496,401
111,308,500,405
112,312,503,409
113,316,506,414
114,321,510,418
115,325,514,422
116,330,518,427
117,335,522,431
118,340,526,436
119,345,530,440
120,350,534,445
121,356,539,450
122,360,542,455
123,365,546,459
124,371,551,464
125,375,555,469
126,381,560,474
127,386,565,479
128,392,570,484
129,397,575,490
130,403,580,495
131,408,584,500
132,414,589,505
133,419,594,511
134,425,600,516
135,429,605,522
136,436,610,527
137,441,617,533
138,447,623,539
139,452,628,544
140,458,634,550
141,464,640,556
142,470,646,562
143,476,651,568
144,482,657,574
145,488,663,580
146,495,669,586
147,500,675,592
148,507,681,598
149,513,687,605
150,520,694,611
151,526,699,617
152,533,706,624
153,539,712,630
154,545,718,636
155,552,725,643
156,558,732,650
157,566,739,656
158,572,746,663
159,578,751,670
160,584,758,676
161,592,766,683
162,599,773,690
163,606,780,697
164,613,787,704
165,619,793,711
166,627,801,718
167,634,807,725
168,640,815,732
169,647,822,739
170,655,830,746
171,662,836,753
172,670,844,761
173,677,851,768
174,684,858,775
175,691,866,782
176,699,873,790
177,707,881,797
178,714,889,805
179,721,896,812
180,729,903,820
181,737,911,827
182,745,919,835
183,752,926,843
184,761,934,850
185,768,942,858
186,776,950,866
187,784,958,873
188,792,966,881
189,801,973,889
190,808,980,897
191,816,989,905
192,824,997,913
193,833,1005,921
194,840,1012,929
195,848,1021,937
196,857,1029,945
197,866,1038,953
198,874,1046,961
199,882,1053,969
200,890,1062,977
201,899,1070,985
202,908,1078,993
203,915,1086,1002
204,924,1095,1010
205,933,1104,1018
206,941,1111,1026
207,949,1120,1035
208,958,1128,1043
209,966,1136,1051
210,975,1145,1060
211,984,1154,1068
212,993,1162,1077
213,1001,1171,1085
214,1010,1179,1094
215,1019,1188,1102
216,1027,1196,1111
217,1036,1205,1119
218,1046,1215,1128
219,1054,1222,1136
220,1063,1232,1145
221,1072,1240,1153
222,1081,1249,1162
223,1090,1258,1170
224,1099,1267,1179
225,1107,1275,1188
226,1117,1285,1196
227,1126,1293,1205
228,1134,1302,1214
229,1144,1312,1223
230,1153,1320,1231
231,1162,1329,1240
232,1171,1338,1249
233,1180,1347,1257
234,1189,1356,1266
235,1197,1364,1275
236,1207,1374,1284
237,1215,1383,1293
238,1225,1392,1301
239,1234,1401,1310
240,1243,1410,1319
241,1253,1419,1328
242,1262,1429,1337
243,1271,1438,1346
244,1279,1446,1354
245,1289,1455,1363
246,1297,1464,1372
247,1307,1473,1381
248,1317,1483,1390
249,1326,1492,1399
250,1334,1501,1408
251,1344,1510,1417
252,1353,1519,1425
253,1362,1528,1434
254,1371,1537,1443
255,1381,1547,1452
256,1389,1556,1461
257,1397,1564,1470
258,1407,1573,1479
259,1416,1582,1488
260,1424,1591,1497
261,1434,1601,1505
262,1442,1610,1514
263,1451,1620,1523
264,1460,1629,1532
265,1469,1639,1541
266,1477,1646,1550
267,1486,1656,1559
268,1495,1666,1568
269,1504,1675,1577
270,1511,1684,1585
271,1521,1694,1594
272,1529,1703,1603
273,1537,1712,1612
274,1546,1721,1621
275,1554,1731,1630
276,1563,1741,1639
277,1572,1750,1647
278,1579,1759,1656
279,1587,1769,1665
280,1597,1778,1674
281,1605,1788,1683
282,1614,1798,1691
283,1621,1807,1700
284,1629,1817,1709
285,1638,1827,1718
286,1646,1835,1727
287,1654,1845,1735
288,1663,1856,1744
289,1670,1864,1753
290,1678,1874,1762
291,1687,1883,1771
292,1695,1894,1779
293,1703,1902,1788
294,1711,1913,1797
295,1719,1922,1806
296,1728,1932,1814
297,1735,1941,1823
298,1744,1952,1832
299,1751,1960,1841
300,1760,1969,1849
301,1768,1979,1858
302,1776,1989,1867
303,1784,1998,1876
304,1792,2007,1884
305,1800,2017,1893
306,1809,2027,1902
307,1816,2036,1911
308,1825,2047,1919
309,1833,2056,1928
310,1841,2065,1937
311,1848,2074,1946
312,1857,2084,1954
313,1865,2093,1963
314,1873,2103,1972
315,1882,2113,1980
316,1889,2122,1989
317,1897,2131,1998
318,1906,2141,2007
319,1913,2150,2015
320,1922,2160,2024
321,1929,2169,2033
322,1938,2179,2041
323,1946,2188,2050
324,1953,2197,2059
325,1962,2207,2068
326,1970,2216,2076
327,1979,2226,2085
328,1987,2235,2094
329,1995,2245,2102
330,2003,2253,2111
331,2011,2262,2120
332,2020,2272,2129
333,2027,2282,2137
334,2035,2291,2146
335,2044,2301,2155
336,2052,2309,2163
337,2060,2319,2172
338,2067,2328,2181
339,2077,2338,2190
340,2084,2346,2198
341,2093,2356,2207
342,2101,2366,2216
343,2109,2375,2225
344,2117,2383,2233
345,2125,2393,2242
346,2134,2403,2251
347,2141,2411,2259
348,2150,2421,2268
349,2159,2431,2277
350,2167,2440,2286
351,2174,2449,2294
352,2183,2457,2303
353,2191,2467,2312
354,2200,2477,2321
355,2208,2486,2329
356,2215,2495,2338
357,2225,2504,2347
358,2232,2513,2356
359,2240,2522,2364
360,2249,2532,2373
361,2257,2542,2382
362,2265,2550,2391
363,2274,2560,2399
364,2282,2569,2408
365,2290,2578,2417
366,2299,2587,2426
367,2307,2596,2435
368,2316,2606,2443
369,2323,2614,2452
370,2333,2624,2461
371,2341,2633,2470
372,2349,2641,2479
373,2357,2651,2487
374,2365,2660,2496
375,2374,2670,2505
376,2383,2678,2514
377,2391,2688,2523
378,2400,2697,2531
379,2408,2706,2540
380,2417,2716,2549
381,2425,2724,2558
382,2433,2733,2567
383,2442,2743,2576
384,2450,2752,2585
385,2459,2761,2593
386,2468,2771,2602
387,2476,2779,2611
388,2484,2788,2620
389,2493,2797,2629
390,2501,2807,2638
391,2511,2816,2647
392,2519,2825,2656
393,2527,2835,2665
394,2536,2844,2673
395,2544,2852,2682
396,2553,2861,2691
