DEPTH (CM);SAMPLE AGE
2;118
10;776
20;947
30;1117
40;1288
50;1459
60;1629
70;1800
78;1937
90;2123
98;2230
110;2391
120;2525
130;2658
140;2792
150;2926
160;3060
170;3194
180;3328
190;3462
198;3569
210;3620
220;3655
230;3690
240;3725
250;3760
260;3794
270;3829
280;3864
290;3962
298;4075
310;4243
320;4383
330;4524
340;4664
350;4804
360;4945
370;5085
380;5226
390;5366
400;5551
412;5779
422;5968
432;6158
442;6348
452;6538
482;7076
490;7146
513;7347
520;7408
529;7486
540;7582
550;7669
560;7757
570;7844
580;7931
590;8018
598;8073
610;8153
620;8219
630;8286
640;8352
650;8418
660;8484
670;8551
680;8617
695;8717
