DEPTH (CM),SAMPLE AGE,14C,
30,567,,
35,661,,
40,756,,
45,850,,
49,916,,
55,1039,,
60,1133,,
65,1228,,
70,1322,,
74,1398,,
80,1511,,
85,1606,,
90,1700,1700ñ29,
95,1900,,
99,2364,,
104,2912,,
110,3520,,
178,6408,,
202,8080,,
205,9020,,
215,10750,9870ñ80,212 cm
231,12447,,
240,13920,,
249,15438,,
250,15500,,
260,16120,,
265,16430,,
274,16988,,
278,17236,,
290,17980,,
295,18290,,
299,18538,,
304,18817,,
310,19220,19160ñ110,311 cm
315,5950,,
320,6044,,
324,6120,,
330,6233,,
335,6328,,
340,6422,,
345,6517,19530ñ130,344 cm
349,,,
353,,,
355,,,
360,,,
365,,,
370,,,
374,,,
385,,,
390,,,
395,,,
399,,,
404,,,
410,,,
415,,,
420,,,
424,,,
431,40700-800+900,,432 cm
435,,,
440,,,
445,,,
449,,,
452,,,
455,,,
460,,,
465,,,
470,,,
474,,,
478,,,
480,,,
485,,,
490,,,
495,,,
499,27200ñ260,,499 cm
505,,,
510,,,
515,,,
520,,,
524,,,
528,,,
530,,,
535,,,
540,,,
545,,,
549,,,
577,,,
585,,,
595,,,
599,,,
613,,,
620,,,
624,,,
